user_id,login_ip,action_time,month_year,action,doc_type,doc_id
94,115.187.63.117,"2018-01-05 11:49:06",01-2018,Almirah,F,1019
53,115.187.63.117,"2018-01-05 11:49:53",01-2018,"File Receive",F,1532
98,49.45.132.3,"2018-01-05 11:51:01",01-2018,"Letter Attach To File",F,38
98,49.45.132.3,"2018-01-05 11:51:08",01-2018,Almirah,F,1285
25,49.45.132.3,"2018-01-05 11:51:29",01-2018,Login,U,25
94,115.187.63.117,"2018-01-05 11:51:53",01-2018,Almirah,F,1461
53,115.187.63.117,"2018-01-05 11:52:05",01-2018,"File Dispatch",F,1532
57,49.45.132.3,"2018-01-05 11:52:14",01-2018,"File Dispatch",F,268
103,115.187.63.117,"2018-01-05 11:52:18",01-2018,"Letter Attach To File",F,1319
71,115.187.63.117,"2018-01-05 11:52:57",01-2018,Login,U,71
98,115.187.63.117,"2018-01-05 11:53:24",01-2018,"Letter Attach To File",F,38
114,115.187.63.117,"2018-01-05 11:53:57",01-2018,Login,U,114
94,115.187.63.117,"2018-01-05 11:54:00",01-2018,Almirah,F,1805
53,115.187.63.117,"2018-01-05 11:54:21",01-2018,"File Receive",F,800
98,115.187.63.117,"2018-01-05 11:55:47",01-2018,"Letter Attach To File",F,38
71,115.187.63.117,"2018-01-05 11:55:49",01-2018,"File Receive",F,826
7,117.248.151.45,"2018-01-05 11:56:35",01-2018,"File Receive",F,329
103,49.45.132.3,"2018-01-05 11:56:53",01-2018,"Letter Attach To File",F,1319
6,117.248.150.254,"2018-01-05 11:57:00",01-2018,Login,U,6
53,115.187.63.117,"2018-01-05 11:57:19",01-2018,"File Dispatch",F,800
57,49.45.132.3,"2018-01-05 11:57:59",01-2018,"Letter Dispatch",L,20902
53,49.45.132.3,"2018-01-05 11:58:09",01-2018,"Log Out",U,53
98,49.45.132.3,"2018-01-05 11:58:19",01-2018,"Letter Attach To File",F,38
71,49.45.132.3,"2018-01-05 11:58:51",01-2018,Login,U,71
71,49.45.132.3,"2018-01-05 11:59:26",01-2018,"File Dispatch",F,826
58,117.223.219.18,"2018-01-05 11:59:54",01-2018,"File Receive",F,268
98,115.187.63.117,"2018-01-05 12:00:11",01-2018,"File Dispatch",F,34
7,117.248.151.45,"2018-01-05 12:00:40",01-2018,"File Dispatch",F,329
98,49.45.132.3,"2018-01-05 12:00:43",01-2018,"Letter Attach To File",F,38
71,49.45.132.3,"2018-01-05 12:01:08",01-2018,"File Receive",F,1532
58,117.223.219.18,"2018-01-05 12:02:31",01-2018,"File Dispatch",F,268
61,117.223.219.18,"2018-01-05 12:03:25",01-2018,"Log Out",U,61
71,115.187.63.117,"2018-01-05 12:04:04",01-2018,"File Dispatch",F,1532
59,117.223.219.18,"2018-01-05 12:04:36",01-2018,Login,U,59
98,49.45.132.3,"2018-01-05 12:04:41",01-2018,"Letter Attach To File",F,38
60,117.223.219.18,"2018-01-05 12:04:50",01-2018,"Letter Dispatch",L,21049
98,49.45.132.3,"2018-01-05 12:04:56",01-2018,"Add Notesheet",F,654
71,49.45.132.3,"2018-01-05 12:05:27",01-2018,"File Receive",F,2063
71,49.45.132.3,"2018-01-05 12:06:10",01-2018,"File Receive",F,800
98,49.45.132.3,"2018-01-05 12:06:26",01-2018,"Add Notesheet",F,654
71,49.45.132.3,"2018-01-05 12:07:02",01-2018,"File Dispatch",F,2063
59,117.223.219.18,"2018-01-05 12:07:36",01-2018,"File Receive",F,268
98,49.45.132.3,"2018-01-05 12:07:53",01-2018,"Add Notesheet",F,654
59,117.223.219.18,"2018-01-05 12:10:23",01-2018,"File Dispatch",F,268
98,49.45.132.3,"2018-01-05 12:10:43",01-2018,"Add Notesheet",F,654
98,49.45.132.3,"2018-01-05 12:11:18",01-2018,"File Receive",F,301
94,49.45.132.3,"2018-01-05 12:11:29",01-2018,Almirah,F,1095
64,49.45.132.3,"2018-01-05 12:11:48",01-2018,"File Receive",F,896
6,117.248.150.254,"2018-01-05 12:11:57",01-2018,"File Dispatch",F,622
6,117.248.150.254,"2018-01-05 12:12:39",01-2018,"Log Out",U,6
98,49.45.132.3,"2018-01-05 12:13:23",01-2018,Almirah,F,301
71,49.45.132.3,"2018-01-05 12:13:46",01-2018,"File Dispatch",F,800
132,115.187.63.117,"2018-01-05 12:14:05",01-2018,Login,U,132
98,115.187.63.117,"2018-01-05 12:14:05",01-2018,"Add Notesheet",F,654
94,49.45.132.3,"2018-01-05 12:14:17",01-2018,Almirah,F,1059
64,115.187.63.117,"2018-01-05 12:15:03",01-2018,"File Dispatch",F,896
57,49.45.132.3,"2018-01-05 12:16:10",01-2018,"File Receive",F,871
98,115.187.63.117,"2018-01-05 12:16:15",01-2018,"Add Notesheet",F,654
132,49.45.132.3,"2018-01-05 12:16:17",01-2018,"File Receive",F,452
60,117.223.219.18,"2018-01-05 12:17:32",01-2018,"File Receive",F,1555
59,117.223.219.18,"2018-01-05 12:17:50",01-2018,"Log Out",U,59
64,49.45.132.3,"2018-01-05 12:17:52",01-2018,"File Receive",F,2063
61,117.223.219.18,"2018-01-05 12:18:21",01-2018,Login,U,61
98,49.45.132.3,"2018-01-05 12:18:34",01-2018,"Add Notesheet",F,654
132,49.45.132.3,"2018-01-05 12:19:08",01-2018,"File Dispatch",F,452
60,117.223.219.18,"2018-01-05 12:19:19",01-2018,"File Dispatch",F,1555
